date,cases,pct_pop,never,rarely,sometimes,frequently,always,order_code,daily_cases,rolling_avg_7,rolling_avg_14,pct_chg_7D_avg,pct_chg_14D_avg,pct_chg_daily,log_cases,log_daily,log_14D_avg,log_ravg,pct_chg_log,log_ravg_pct,Rail,Adjusted_Bus,Rail.1,Bus,ravg_rail,ravg_bus,fatal,injury,pdo,total,total_crash_7d,total_crash_14d
2020-06-19,13928,0.013114124329958449,107268.161,161433.272,99833.734,197543.346,494920.426,1,66.0,82.85714285714286,106.71428571428572,-0.010238907849829282,-0.08679706601466998,0.5348837209302326,9.541656481448024,0.004749918970095024,9.499338760554377,9.527354008832399,0.5288651308310526,0.0006381892854410154,53000,93000,-0.92,-0.77,45142.857142857145,81285.71428571429,0.0,10.0,20.0,30.0,21.285714285714285,20.357142857142858
2020-06-20,14004,0.013185683308209227,107268.161,161433.272,99833.734,197543.346,494920.426,1,76.0,67.14285714285714,98.57142857142857,-0.18965517241379315,-0.07630522088353409,0.1515151515151516,9.547098282074556,0.0054418006265315455,9.506748991910726,9.532230861015595,0.14566178092563975,0.000511878972763613,24000,42000,-0.92,-0.81,45714.28571428572,82428.57142857143,0.0,3.0,8.0,11.0,19.857142857142858,19.714285714285715
2020-06-21,14079,0.013256300720956706,107268.161,161433.272,99833.734,197543.346,494920.426,1,75.0,67.42857142857143,96.07142857142857,0.0042553191489362865,-0.025362318840579712,-0.013157894736842146,9.552439604462528,0.005341322387971914,9.513921045045409,9.537102283768691,-0.018464152852228577,0.0005110475002256809,22000,39000,-0.9,-0.77,46714.28571428572,83714.28571428571,0.0,7.0,11.0,18.0,19.857142857142858,20.214285714285715
2020-06-22,14141,0.013314677782161288,107268.161,161433.272,99833.734,197543.346,494920.426,1,62.0,69.14285714285714,94.5,0.025423728813559254,-0.01635687732342006,-0.17333333333333334,9.556833658307777,0.004394053845249601,9.52093732691995,9.542077450715741,-0.1773471949297537,0.0005216644216470279,53000,98000,-0.92,-0.76,47000.0,84857.14285714286,0.0,8.0,8.0,16.0,19.428571428571427,19.857142857142858
2020-06-23,14204,0.01337399640886917,107268.161,161433.272,99833.734,197543.346,494920.426,1,63.0,70.71428571428571,88.2857142857143,0.02272727272727271,-0.06575963718820854,0.016129032258064502,9.561278894062978,0.004445235755200727,9.527440100537628,9.547144745519612,0.011647993345930141,0.0005310473353463685,53000,98000,-0.92,-0.77,47714.28571428572,89571.42857142857,0.0,5.0,11.0,16.0,18.142857142857142,19.785714285714285
2020-06-24,14283,0.013448380083629849,107268.161,161433.272,99833.734,197543.346,494920.426,1,79.0,66.28571428571429,82.78571428571429,-0.06262626262626247,-0.062297734627831725,0.25396825396825395,9.566825297862628,0.0055464037996504345,9.533484915093458,9.551862682956633,0.2477187049441394,0.0004941726100085031,56000,100000,-0.92,-0.77,48714.28571428572,93000.0,0.0,8.0,12.0,20.0,18.428571428571427,19.928571428571427
2020-06-25,14381,0.01354065350295322,107268.161,161433.272,99833.734,197543.346,494920.426,1,98.0,74.14285714285714,78.92857142857143,0.11853448275862055,-0.046591889559965516,0.24050632911392397,9.57366316988638,0.006837872023751856,9.539195629168209,9.557113626872125,0.23284785434894184,0.0005497298369732118,55000,99000,-0.92,-0.76,49571.42857142857,98285.71428571429,0.0,6.0,20.0,26.0,19.571428571428573,19.928571428571427
2020-06-26,14471,0.013625394398250194,107268.161,161433.272,99833.734,197543.346,494920.426,1,90.0,77.57142857142857,80.21428571428571,0.046242774566473965,0.016289592760180938,-0.08163265306122447,9.579901925737992,0.006238755851612154,9.544965635301548,9.562577261770693,-0.08761734207054883,0.0005716825300901007,57000,101000,-0.91,-0.75,50714.28571428572,102142.85714285714,0.0,12.0,10.0,22.0,18.428571428571427,19.857142857142858
2020-06-27,14520,0.01367153110791188,107268.161,161433.272,99833.734,197543.346,494920.426,1,49.0,73.71428571428571,70.42857142857143,-0.049723756906077436,-0.12199465716829914,-0.4555555555555556,9.583282288378786,0.003380362640793777,9.54998863327202,9.567746405528439,-0.45816718570253734,0.0005405596855578843,31000,51000,-0.88,-0.77,48428.57142857143,96000.0,0.0,7.0,10.0,17.0,19.285714285714285,19.571428571428573
2020-06-28,14607,0.013753447306698956,107268.161,161433.272,99833.734,197543.346,494920.426,1,87.0,75.42857142857143,71.42857142857143,0.023255813953488413,0.014198782961460488,0.7755102040816326,9.589256144850811,0.005973856472024863,9.555054097533446,9.573005911298193,0.7672235516784915,0.0005497120791908561,24000,47000,-0.87,-0.72,49285.71428571428,96142.85714285714,0.0,4.0,9.0,13.0,18.571428571428573,19.214285714285715
2020-06-29,14675,0.013817473760923337,107268.161,161433.272,99833.734,197543.346,494920.426,1,68.0,76.28571428571429,72.71428571428571,0.011363636363636465,0.017999999999999794,-0.2183908045977011,9.593900644696298,0.004644499845486649,9.560189322891867,9.578301195067981,-0.22252905351233243,0.0005531474459383734,58000,131000,-0.91,-0.68,49428.57142857143,95857.14285714286,0.0,9.0,17.0,26.0,20.0,19.714285714285715
2020-06-30,14737,0.01387585082212792,107268.161,161433.272,99833.734,197543.346,494920.426,1,62.0,76.14285714285714,73.42857142857143,-0.0018726591760300781,0.00982318271119853,-0.08823529411764708,9.598116617213263,0.004215972516965039,9.565354236233107,9.583563726946593,-0.09226554909632245,0.0005494222588575681,60000,122000,-0.91,-0.7,49285.71428571428,95285.71428571429,0.0,7.0,9.0,16.0,20.0,19.071428571428573
2020-07-01,14803,0.0139379941453457,107268.161,161433.272,99833.734,197543.346,494920.426,1,66.0,74.28571428571429,70.28571428571429,-0.02439024390243893,-0.04280155642023342,0.06451612903225801,9.602585141913492,0.004468524700229182,9.570267479526679,9.588672276096718,0.05990365977194467,0.0005330531831035934,62000,137000,-0.9,-0.66,48857.142857142855,96142.85714285714,0.0,4.0,15.0,19.0,19.857142857142858,19.142857142857142
2020-07-02,14899,0.014028384433662474,107268.161,161433.272,99833.734,197543.346,494920.426,1,96.0,74.0,74.07142857142857,-0.003846153846153944,0.053861788617886035,0.4545454545454546,9.60904937558734,0.00646423367384763,9.575420537605924,9.593727448339715,0.44661473472801716,0.0005272025257969659,63000,126000,-0.9,-0.69,48428.57142857143,96428.57142857143,0.0,10.0,19.0,29.0,20.285714285714285,19.928571428571427
2020-07-03,15021,0.01414325542506504,107268.161,161433.272,99833.734,197543.346,494920.426,1,122.0,78.57142857142857,78.07142857142857,0.06177606177606165,0.054001928640308616,0.2708333333333333,9.617204500998055,0.008155125410715058,9.580816824716639,9.599056387662582,0.261576518142943,0.0005554607790936306,41000,58000,-0.9,-0.64,47857.142857142855,96285.71428571429,0.0,9.0,15.0,24.0,20.571428571428573,19.5
2020-07-04,15082,0.01420069092076632,107268.161,161433.272,99833.734,197543.346,494920.426,1,61.0,80.28571428571429,77.0,0.02181818181818196,-0.013723696248856387,-0.5,9.621257258762592,0.004052757764537063,9.58611389448007,9.604481383431699,-0.5030416381810481,0.000565159277123195,37000,52000,-0.9,-0.68,50428.57142857143,108428.57142857143,0.0,7.0,11.0,18.0,20.714285714285715,20.0
2020-07-05,15129,0.01424494449942141,107268.161,161433.272,99833.734,197543.346,494920.426,1,47.0,74.57142857142857,75.0,-0.07117437722419939,-0.025974025974025983,-0.2295081967213115,9.624368710744834,0.003111451982242386,9.59125168778595,9.609497464273701,-0.23226302606373517,0.0005222646222893257,25000,45000,-0.86,-0.71,49571.42857142857,110000.0,0.0,6.0,12.0,18.0,21.428571428571427,20.0
2020-07-06,15163,0.0142769577265336,107268.161,161433.272,99833.734,197543.346,494920.426,1,34.0,69.71428571428571,73.0,-0.06513409961685834,-0.026666666666666616,-0.276595744680851,9.62661352880094,0.0022448180561056574,9.596235964249747,9.614170733431507,-0.27853038744700664,0.0004863177471225999,57000,127000,-0.9,-0.64,49428.57142857143,110714.28571428571,0.0,4.0,16.0,20.0,20.571428571428573,20.285714285714285
2020-07-07,15332,0.014436082296591253,107268.161,161433.272,99833.734,197543.346,494920.426,1,169.0,85.0,80.57142857142857,0.21926229508196735,0.1037181996086105,3.9705882352941178,9.637697426500445,0.01108389769950513,9.601694430852422,9.619825134758246,3.937548354690996,0.0005881319859524226,57000,128000,-0.92,-0.7,49571.42857142857,111142.85714285714,0.0,5.0,12.0,17.0,20.714285714285715,20.357142857142858
2020-07-08,15400,0.014500108750815631,107268.161,161433.272,99833.734,197543.346,494920.426,1,68.0,85.28571428571429,79.78571428571429,0.003361344537815114,-0.009751773049645251,-0.5976331360946745,9.642122788401721,0.004425361901276403,9.607072823033787,9.62547336997085,-0.6007395573964938,0.0005871453101777835,59000,139000,-0.92,-0.67,50000.0,111857.14285714286,0.0,13.0,10.0,23.0,21.285714285714285,20.571428571428573
2020-07-09,15503,0.014597089997655504,107268.161,161433.272,99833.734,197543.346,494920.426,1,103.0,86.2857142857143,80.14285714285714,0.011725293132328396,0.0044762757385854455,0.5147058823529411,9.648788832566362,0.006666044164640894,9.612438941796643,9.63115043525357,0.5063274627817924,0.0005897959575089651,59000,125000,-0.91,-0.67,50142.857142857145,112142.85714285714,0.0,6.0,13.0,19.0,19.857142857142858,20.071428571428573
