date,Rail,Adjusted_Bus,Rail,Bus
11/27/2021,96000,131000,1.13,0.05
11/26/2021,115000,159000,1.11,-0.02
11/25/2021,51000,90000,1.39,0.15
11/24/2021,149000,209000,0.96,0.12
11/23/2021,166000,251000,1.07,0.34
11/22/2021,166000,249000,1.1,0.37
11/21/2021,85000,117000,1.28,0.18
11/20/2021,125000,151000,1.4,0.18
11/19/2021,179000,256000,1.05,0.34
11/18/2021,186000,275000,1.19,0.55
11/17/2021,180000,269000,1.13,0.53
11/16/2021,178000,268000,1.1,0.52
11/15/2021,164000,265000,0.96,0.44
11/14/2021,99000,120000,1.61,0.29
11/13/2021,146000,136000,0.81,0.06
11/12/2021,173000,251000,0.85,0.31
11/11/2021,144000,187000,1.42,0.48
11/10/2021,180000,280000,1.2,0.65
11/9/2021,175000,276000,0.96,0.44
11/8/2021,167000,270000,0.96,0.42
11/7/2021,89000,123000,0.97,0.18
11/6/2021,144000,160000,0.85,0.22
11/5/2021,179000,250000,0.99,0.32
11/4/2021,178000,280000,1.06,0.51
11/3/2021,175000,288000,1.14,-0.84
11/2/2021,157000,243000,0.86,0.33
11/1/2021,154000,282000,0.86,0.53
10/31/2021,76000,133000,1.25,0.41
10/30/2021,121000,166000,1.16,0.18
10/29/2021,147000,229000,0.61,0.17
10/28/2021,173000,286000,1.24,0.77
10/27/2021,173000,288000,0.92,0.71
10/26/2021,163000,278000,0.87,0.77
10/25/2021,149000,276000,0.79,0.48
10/24/2021,84000,134000,1.18,0.48
10/23/2021,125000,166000,1.1,0.21
10/22/2021,176000,278000,0.9,0.43
10/21/2021,167000,289000,0.88,0.52
10/20/2021,164000,286000,0.83,0.47
10/19/2021,159000,282000,0.83,0.47
10/18/2021,150000,280000,0.79,0.52
10/17/2021,112000,134000,1.68,0.34
10/16/2021,149000,155000,1.27,0.15
10/15/2021,222000,273000,1.55,0.49
10/14/2021,210000,285000,1.3,0.52
10/13/2021,216000,285000,1.42,0.49
10/12/2021,205000,282000,1.39,0.5
10/11/2021,142000,178000,1.5,0.39
10/10/2021,117000,128000,2.33,0.42
10/9/2021,153000,164000,1.65,0.32
10/8/2021,210000,256000,1.35,0.38
